line_code,active,station_code,station_name_en,station_name_th,latitude,longitude
red_east,False,RE02,Sam Sen,สามเสน,,
red_east,False,RE03,Ratchawithi,ราชวิถี,,
red_east,False,RE04,Phaya Thai,พญาไท,,
red_east,False,RE05,Makkasan,มักกะสัน,,
red_east,False,RE06,Ramkhamhaeng,รามคำแหง,,
red_east,False,RE07,Hua Mak,หัวหมาก,,
red_north,True,RN01,Bang Sue,บางซื่อ,13.80464389,100.5420537
red_north,True,RN02,Chatuchak,จตุจักร,13.82652595,100.5493932
red_north,True,RN03,Wat Samian Nari,วัดเสมียนนารี,13.84168597,100.5575223
red_north,True,RN04,Bang Khen,บางเขน,13.84696561,100.5607408
red_north,True,RN05,Thung Song Hong,ทุ่งสองห้อง,13.86020462,100.5673919
red_north,True,RN06,Lak Si,หลักสี่,13.88624187,100.5818476
red_north,True,RN07,Kan Kheha,การเคหะ ,13.89861755,100.5890021
red_north,True,RN08,Don Muang,ดอนเมือง,13.91507215,100.5979559
red_north,True,RN09,Lak Hok,หลักหก,13.96583148,100.6053144
red_north,True,RN10,Rangsit,รังสิต,13.99065039,100.602157
red_north,False,RN11,Khlong Neung,คลองหนึ่ง,,
red_north,False,RN12,Bangkok University-Rangsit,มหาวิทยาลัยกรุงเทพฯ-รังสิต,,
red_north,False,RN13,Chiang Rak,เชียงราก,,
red_north,False,RN14,Thammasat University-Rangsit,มหาวิทยาลัยธรรมศาสตร์-รังสิต,,
red_south,False,RS01,Bang Sue,บางซื่อ,,
red_south,False,RS02,Sam Sen,สามเสน,,
red_south,False,RS03,Ratchawithi,ราชวิถี,,
red_south,False,RS04,Yommarat,ยมราช,,
red_south,False,RS05,Yossae,ยศเส,,
red_south,False,RS06,Hua Lamphong,หัวลำโพง,,
red_south,False,RS07,Khlong San,คลองสาน,,
red_south,False,RS08,Wongwian Yai ,วงเวียนใหญ่ ,,
red_south,False,RS09,Talat Phlu (North),ตลาดพลู (เหนือ),,
red_south,False,RS10,Wutthakat,วุฒากาศ,,
red_south,False,RS11,Chom Thong,จอมทอง,,
red_south,False,RS12,Wat Sai,วัดไทร,,
red_south,False,RS13,Wat Sing,วัดสิงห์,,
red_south,False,RS14,Bang Bon,บางบอน,,
red_south,False,RS15,Rang Sakae,รางสะแก,,
red_south,False,RS16,Rang Pho,รางโพธิ์,,
red_south,False,RS17,Sam Yaek,สามแยก,,
red_south,False,RS18,Phrom Daen,พรมแดน,,
red_south,False,RS19,Thung Si Thong,ทุ่งสีทอง,,
red_south,False,RS20,Bang Nam Chuet,บางน้ำจืด,,
red_south,False,RS21,Khok Khwai,คอกควาย,,
red_south,False,RS22,Ekkachai,เอกชัย,,
red_south,False,RS23,Maha Chai,มหาชัย,,
red_west,True,RW01,Bang Sue,บางซื่อ,13.80464389,100.5420537
red_west,True,RW02,Bang Son,บางซ่อน,13.82205892,100.534189
red_west,False,RW03,Rama VI Bridge,สะพานพระราม 6,,
red_west,False,RW04,Bang Kruai-EGAT,บางกรวย-กฟผ,,
red_west,True,RW05,Bang Bamru,บางบำหรุ,13.79170674,100.4776743
red_west,True,RW06,Taling Chan,ตลิ่งชัน,13.78934932,100.4400187
red_west,False,RW07,Ban Chimpli,บ้านฉิมพลี,,
red_west,False,RW08,Kanchanaphisek,กาญจนาภิเษก,,
red_west,False,RW09,Sala Thammasop,ศาลาธรรมสพน์,,
red_west,False,RW10,Salaya,ศาลายา,,
red_west_south,False,RWS1,Taling Chan,ตลิ่งชัน,,
red_west_south,False,RWS2,Taling Chan District Office,สำนักงานเขตตลิ่งชัน,,
